Title,Cast and crew,genres
Mamma Mia! Here We Go Again,"Ol Parker (director/screenplay); Lily James, Amanda Seyfried, Pierce Brosnan, Colin Firth, Stellan Skarsgård, Julie Walters, Christine Baranski, Dominic Cooper, Cher, Andy García, Meryl Streep",Comedy Romance
The Equalizer 2,"Antoine Fuqua (director); Richard Wenk (screenplay); Denzel Washington, Ashton Sanders, Pedro Pascal, Melissa Leo, Bill Pullman",Action Thriller Crime
Blindspotting,"Carlos López Estrada (director); Daveed Diggs, Rafael Casal (screenplay); Janina Gavankar, Ethan Embry, Daveed Diggs, Rafael Casal, Wayne Knight",Comedy Drama
Unfriended: Dark Web,"Stephen Susco (director/screenplay); Colin Woodell, Rebecca Rittenhouse, Betty Gabriel, Andrew Lees, Connor Del Rio, Stephanie Nogueras, Savira Windyani",Horror Mystery Thriller
Bleach,"Shinsuke Sato (director); Sota Fukushi, Hana Sugisaki",Action Fantasy Adventure
Gauguin – Voyage de Tahiti,"Édouard Deluc (director/screenplay); Étienne Comar (screenplay); Vincent Cassel, Tuheï Adams, Malik Zidi",Drama Romance
Mission: Impossible – Fallout,"Christopher McQuarrie (director/screenplay); Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson, Sean Harris, Angela Bassett, Michelle Monaghan, Alec Baldwin",Action Adventure
Teen Titans Go! To the Movies,"Peter Rida Michail (director); Aaron Horvath (co-director/screenplay); Michael Jelenic (screenplay); Scott Menville, Khary Payton, Tara Strong, Greg Cipes, Hynden Walch, Will Arnett, Kristen Bell",Animation Action Comedy Science Fiction
Detective Dee: The Four Heavenly Kings,"Tsui Hark (director), Chang Chia-lu, Chen Kuo-Fu (screenplay), Mark Chao, Feng Shaofeng, Lin Gengxin, Carina Lau, Ethan Juan, Sandra Ma",Mystery Fantasy Adventure Action
Hot Summer Nights,"Elijah Bynum (director/screenplay); Timothée Chalamet, Maika Monroe, Alex Roe, Maia Mitchell",Drama Comedy
Puzzle,"Marc Turtletaub (director); Oren Moverman (screenplay); Kelly Macdonald, Irrfan Khan, David Denman, Bubba Weiler, Austin Abrams, Liv Hewson",Drama
Christopher Robin,"Marc Forster (director); Tom McCarthy, Alex Ross Perry, Allison Schroeder (screenplay); Ewan McGregor, Hayley Atwell, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi, Sophie Okonedo, Toby Jones",Adventure Comedy Family Fantasy
The Darkest Minds,"Jennifer Yuh Nelson (director); Chad Hodge (screenplay); Amandla Stenberg, Mandy Moore, Harris Dickinson, Gwendoline Christie",Science Fiction Action Drama Romance Adventure Thriller
The Spy Who Dumped Me,"Susanna Fogel (director/screenplay); David Iserson (screenplay); Mila Kunis, Kate McKinnon, Justin Theroux, Sam Heughan, Gillian Anderson",Action Comedy
The Miseducation of Cameron Post,"Desiree Akhavan (director); Desiree Akhavan, Cecilia Frugiuele (screenplay); Chloë Grace Moretz, Sasha Lane, John Gallagher, Jr., Forrest Goodluck, Jennifer Ehle",Drama
Never Goin' Back,"Augustine Frizzell (director/screenplay); Maia Mitchell, Camila Morrone, Kyle Mooney, Joel Allen, Kendal Smith, Matthew Holcomb",Comedy
Dog Days,"Ken Marino (director); Elissa Matsueda, Erica Oyama (screenplay); Nina Dobrev, Finn Wolfhard, Vanessa Hudgens, Adam Pally, Eva Longoria",Comedy Romance Drama
The Meg,"Jon Turteltaub (director); Dean Georgaris, Jon Hoeber, Erich Hoeber (screenplay); Jason Statham, Li Bingbing, Rainn Wilson, Ruby Rose, Winston Chao, Cliff Curtis",Action Science Fiction Horror
BlacKkKlansman,"Spike Lee (director); Spike Lee, David Rabinowitz, Charlie Wachtel, Kevin Willmott (screenplay); John David Washington, Adam Driver, Laura Harrier, Topher Grace",Crime Drama History Comedy
Slender Man,"Sylvain White (director); David Birke (screenplay); Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso, Javier Botet",Mystery Thriller Horror
A Prayer Before Dawn,"Jean-Stéphane Sauvaire (director); Jonathan Hirschbein, Nick Saltrese (screenplay); Joe Cole",Drama Action Crime
Crazy Rich Asians,"Jon M. Chu (director); Peter Chiarelli, Adele Lim (screenplay); Constance Wu, Henry Golding, Gemma Chan, Awkwafina, Lisa Lu, Ken Jeong, Michelle Yeoh",Comedy Drama Romance
Alpha,"Albert Hughes (director); Dan Wiedenhaupt (screenplay); Kodi Smit-McPhee, Leonor Varela, Jens Hultén",Adventure Drama
Mile 22,"Peter Berg (director); Graham Roland, Lea Carpenter (screenplay); Mark Wahlberg, John Malkovich, Lauren Cohan, Iko Uwais, Ronda Rousey",Action Thriller
The Wife,"Björn Runge (director); Jane Anderson (screenplay); Glenn Close, Jonathan Pryce, Christian Slater, Max Irons, Annie Starke, Harry Lloyd, Elizabeth McGovern",Drama
Billionaire Boys Club,"James Cox (director); James Cox, Captain Mauzner (screenplay); Ansel Elgort, Taron Egerton, Kevin Spacey, Jeremy Irvine, Cary Elwes, Emma Roberts, Billie Lourd, Suki Waterhouse, Judd Nelson",Drama Thriller
"Juliet, Naked","Jesse Peretz (director); Tamara Jenkins, Phil Alden Robinson, Jim Taylor (screenplay); Ethan Hawke, Rose Byrne",Comedy Drama Romance
Down a Dark Hall,"Rodrigo Cortés (director); Michael Goldbach, Chris Sparling (screenplay); AnnaSophia Robb, Uma Thurman, Isabelle Fuhrman, Kirsty Mitchell, Taylor Russell, Jim Sturgeon, Victoria Moroles",Thriller Drama Fantasy Horror
The Happytime Murders,"Brian Henson (director); Todd Berger (screenplay); Melissa McCarthy, Maya Rudolph, Joel McHale, Elizabeth Banks",Action Comedy Crime
Searching,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); John Cho, Debra Messing",Thriller Mystery Drama
Papillon,"Michael Noer (director); Aaron Guzikowski (screenplay); Charlie Hunnam, Rami Malek",Drama History Crime
A.X.L.,"Oliver Daly (director/screenplay); Alex Neustaedter, Becky G, Alex MacNicoll, Thomas Jane, Lou Taylor Pucci, Patricia de Leon",Science Fiction Action Adventure Family
Operation Finale,"Chris Weitz (director); Matthew Orton (screenplay); Oscar Isaac, Ben Kingsley, Lior Raz, Mélanie Laurent, Nick Kroll, Joe Alwyn",Drama History Thriller
Kin,"Jonathan Baker, Josh Baker (director/screenplay); Daniel Casey (screenplay); Myles Truitt, Jack Reynor, Zoë Kravitz, Carrie Coon, Dennis Quaid, James Franco",Science Fiction Action
The Little Stranger,"Lenny Abrahamson (director); Lucinda Coxon (screenplay); Domhnall Gleeson, Ruth Wilson, Will Poulter, Charlotte Rampling, Alison Pargeter",Mystery Drama Horror History
Destination Wedding,"Victor Levin (director/screenplay); Winona Ryder, Keanu Reeves",Romance Comedy Drama
The Nun,"Corin Hardy (director); Gary Dauberman (screenplay); Demián Bichir, Taissa Farmiga, Jonas Bloquet, Charlotte Hope, Ingrid Bisu, Bonnie Aarons",Horror Mystery Thriller
Peppermint,"Pierre Morel (director); Chad St. John (screenplay); Jennifer Garner, John Ortiz, Juan Pablo Raba, John Gallagher Jr., Annie Ilonzeh, Richard Cabral",Action Thriller
The Predator,"Shane Black (director/screenplay); Fred Dekker (screenplay); Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key, Olivia Munn, Thomas Jane, Alfie Allen, Sterling K. Brown",Science Fiction Action Thriller Adventure Horror Comedy
White Boy Rick,"Yann Demange (director); Logan Miller, Steve Kloves, Noah Miller, Andy Weiss (screenplay); Matthew McConaughey, Richie Merritt, Bel Powley, Jennifer Jason Leigh, Brian Tyree Henry, Rory Cochrane, RJ Cyler, Jonathan Majors, Eddie Marsan, Bruce Dern, Piper Laurie",Crime Drama
A Simple Favor,"Paul Feig (director/screenplay); Jessica Sharzer (screenplay); Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",Crime Comedy Mystery Drama Thriller
The Children Act,"Richard Eyre (director); Ian McEwan (screenplay); Emma Thompson, Stanley Tucci, Fionn Whitehead",Drama
Lizzie,"Craig William Macneill (director); Bryce Kass (screenplay); Chloë Sevigny, Kristen Stewart, Jay Huguley, Fiona Shaw, Jamey Sheridan, Kim Dickens, Denis O'Hare, Jeff Perry",Crime Drama Thriller
Unbroken: Path to Redemption,"Harold Cronk (director); Richard Friedenberg, Ken Hixon (screenplay); Samuel Hunt, Merritt Patterson, Vanessa Bell Calloway, Bobby Campo, David DeLuise, David Sakurai, WIll Graham",Drama
The House with a Clock in Its Walls,"Eli Roth (director); Eric Kripke (screenplay); Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan, Renée Elise Goldsberry, Sunny Suljic, Vanessa Anne Williams, Colleen Camp",Fantasy Family Comedy
Life Itself,"Dan Fogelman (director/screenplay); Oscar Isaac, Olivia Wilde, Mandy Patinkin, Olivia Cooke, Laia Costa, Annette Bening, Antonio Banderas",Drama Romance
The Sisters Brothers,"Jacques Audiard (director); Jacques Audiard, Thomas Bidegain (screenplay); John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed",Western Drama Adventure
Assassination Nation,"Sam Levinson (director/screenplay); Odessa Young, Suki Waterhouse, Hari Nef, Abra, Bella Thorne, Bill Skarsgård, Cody Christian, Joel McHale, Maude Apatow, Colman Domingo, Anika Noni Rose",Thriller Comedy Horror
Colette,"Wash Westmoreland (director/screenplay); Richard Glatzer (screenplay); Keira Knightley, Dominic West",Drama History
Fahrenheit 11/9,Michael Moore (director/screenplay),Documentary
My Son,"Christian Carion (director/screenplay); Guillaume Canet, Melanie Laurent",Crime Drama Thriller
"Love, Gilda",Lisa Dapolito (director); Gilda Radner,Documentary
My Hero Academia: Two Heroes,"Kenji Nagasaki (director); Yōsuke Kuroda (screenplay); Justin Briner, Christopher R. Sabat, Clifford Chapin, Luci Christian, J. Michael Tatum, David Matranga",Animation Action Comedy Fantasy Adventure
Smallfoot,"Karey Kirkpatrick (director/screenplay); Clare Sera (screenplay); Channing Tatum, James Corden, Zendaya, Common, LeBron James, Gina Rodriguez, Danny DeVito, Yara Shahidi, Ely Henry, Jimmy Tatro",Animation Family Adventure Fantasy
Night School,"Malcolm D. Lee (director); Kevin Hart, Harry Ratchford, Joey Wells, Matt Kellard, Nicholas Stoller (screenplay); Kevin Hart, Tiffany Haddish, Rob Riggle, Romany Malco",Comedy
The Old Man & the Gun,"David Lowery (director/screenplay); Robert Redford, Casey Affleck, Danny Glover, Tika Sumpter, Tom Waits, Sissy Spacek",Comedy Crime Drama
Hell Fest,"Gregory Plotkin (director); William Penick, Chris Sey (screenplay); Bex Taylor-Klaus, Amy Forsyth, Reign Edwards, Christian James, Matt Mercurio, Roby Attal",Horror
Power of the Air,"Dave Christiano (director/screenplay); Nicholas X. Parsons, Patty Duke, Michael Gross, Tracy Goode, Karyn Williams, Wendell Kinney, Veryl Jones",
Venom,"Ruben Fleischer (director); Jeff Pinkner, Scott Rosenberg, Kelly Marcel (screenplay); Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott, Jenny Slate",Science Fiction Action
A Star Is Born,"Bradley Cooper (director/screenplay); Eric Roth, Will Fetters (screenplay); Bradley Cooper, Lady Gaga, Sam Elliott, Dave Chappelle, Andrew Dice Clay, Anthony Ramos, Rafi Gavron, Greg Grunberg",Drama Romance Music
The Hate U Give,"George Tillman Jr. (director); Audrey Wells (screenplay); Amandla Stenberg, Regina Hall, Russell Hornsby, KJ Apa, Algee Smith, Lamar Johnson, Issa Rae, Sabrina Carpenter, Common, Anthony Mackie",Crime Drama
The Happy Prince,"Rupert Everett (director/screenplay); Rupert Everett, Colin Firth, Colin Morgan, Emily Watson",Drama
First Man,"Damien Chazelle (director); Josh Singer (screenplay); Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Ciaran Hinds, Christopher Abbott, Patrick Fugit, Lukas Haas",History Drama
Bad Times at the El Royale,"Drew Goddard (director/screenplay); Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm, Cailee Spaeny, Lewis Pullman, Nick Offerman, Chris Hemsworth",Thriller Drama Mystery
Goosebumps 2: Haunted Halloween,"Ari Sandel (director); Rob Lieber (screenplay); Wendi McLendon-Covey, Madison Iseman, Jeremy Ray Taylor, Caleel Harris, Chris Parnell, Ken Jeong, Jack Black",Adventure Comedy Fantasy Family Horror
Beautiful Boy,"Felix van Groeningen (director/screenplay); Luke Davies (screenplay); Steve Carell, Timothée Chalamet, Maura Tierney, Amy Ryan",Drama
The Oath,"Ike Barinholtz (director/screenplay); Ike Barinholtz, Tiffany Haddish, Nora Dunn, Chris Ellis, Jon Barinholtz, Meredith Hagner, Carrie Brownstein, Billy Magnussen, John Cho",Comedy
Gosnell: The Trial of America's Biggest Serial Killer,"Nick Searcy (director); Earl Billings, Dean Cain, Sarah Jane Morris, Michael Beach",Drama Crime
Halloween,"David Gordon Green (director/screenplay); Jeff Fradley, Danny McBride (screenplay); Jamie Lee Curtis, Judy Greer, Andi Matichak, Will Patton, Virginia Gardner",Animation Family Mystery Comedy Crime
Can You Ever Forgive Me?,"Marielle Heller (director); Nicole Holofcener, Jeff Whitty (screenplay); Melissa McCarthy, Richard E. Grant",Drama Crime Comedy
Mid90s,"Jonah Hill (director/screenplay); Sunny Suljic, Lucas Hedges, Katherine Waterston",Drama
Wildlife,"Paul Dano (director/screenplay); Zoe Kazan (screenplay); Carey Mulligan, Jake Gyllenhaal, Ed Oxenbould, Bill Camp",Drama
What They Had,"Elizabeth Chomko (director/screenplay); Hilary Swank, Michael Shannon, Robert Forster, Blythe Danner, Taissa Farmiga, Josh Lucas",Drama
Hunter Killer,"Donovan Marsh (director); Arne Schmidt, Jamie Moss (screenplay); Gerard Butler, Gary Oldman, Common, Toby Stephens, Linda Cardellini, David Gyasi, Gabriel Chavarria, Zane Holtz, Michael Nyqvist",Action Thriller
Johnny English Strikes Again,"David Kerr (director); William Davies (screenplay); Rowan Atkinson, Olga Kurylenko, Ben Miller",Action Adventure Comedy
Suspiria,"Luca Guadagnino (director); David Kajganich (screenplay); Dakota Johnson, Tilda Swinton, Mia Goth, Angela Winkler, Ingrid Caven, Sylvie Testud, Jessica Harper, Chloë Grace Moretz",Horror
Indivisible,"David G. Evans (director/screenplay); Cheryl McKay (screenplay); Sarah Drew, Justin Bruening, Jason George, Madeline Carroll, Tanner Stine, Michael O'Neill, Tia Mowry, Eric Close",Drama War
Bullitt County,"David McCracken (director/screenplay); Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Richard Riehle, Dorothy Lyman",Action Drama Thriller
Bohemian Rhapsody,"Bryan Singer (director); Anthony McCarten (screenplay); Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Allen Leech, Tom Hollander, Mike Myers",Drama Music
The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston (director); Ashleigh Powell (screenplay); Keira Knightley, Mackenzie Foy, Eugenio Derbez, Matthew Macfadyen, Richard E. Grant, Misty Copeland, Helen Mirren, Morgan Freeman",Fantasy Adventure Family
Nobody's Fool,"Tyler Perry (director/screenplay); Tiffany Haddish, Tika Sumpter, Omari Hardwick, Mehcad Brooks, Amber Riley, Whoopi Goldberg",Comedy Romance
Boy Erased,"Joel Edgerton (director/screenplay); Lucas Hedges, Nicole Kidman, Russell Crowe, Joel Edgerton, Joe Alwyn, Xavier Dolan, Troye Sivan, Cherry Jones, Flea",Drama
A Private War,"Matthew Heineman (director); Arash Amel (screenplay); Rosamund Pike, Jamie Dornan, Stanley Tucci, Tom Hollander",Drama War
Bodied,"Joseph Kahn (director); Alex Larsen (screenplay); Calum Worthy, Jackie Long, Rory Uphold, Dumbfoundead, Walter Perez, Anthony Michael Hall",Drama Comedy Music
The Front Runner,"Jason Reitman (director); Matt Bai, Jason Reitman, Jay Carson (screenplay); Hugh Jackman, Vera Farmiga, J. K. Simmons, Alfred Molina",Drama History
The Grinch,"Yarrow Cheney, Scott Mosier (directors); Matthew O'Callaghan (co-director); Michael LeSieur, Tommy Swerdlow (screenplay); Benedict Cumberbatch, Rashida Jones, Kenan Thompson, Cameron Seely, Angela Lansbury, Pharrell Williams",Animation Family Comedy Fantasy
The Girl in the Spider's Web,"Fede Alvarez (director/screenplay); Steven Knight, Jay Basu (screenplay); Claire Foy, Sverrir Gudnason, Lakeith Stanfield, Sylvia Hoeks, Stephen Merchant",Action Crime Thriller Drama
Overlord,"Julius Avery (director); Billy Ray, Mark L. Smith (screenplay); Jovan Adepo, Wyatt Russell, Mathilde Ollivier, John Magaro, Gianny Taufer, Pilou Asbæk, Bokeem Woodbine",Horror War Science Fiction
The Ballad of Buster Scruggs,"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",Comedy Drama Western
Lazer Team 2,"Daniel Fabelo & Matt Hullum (director); Daniel Fabelo, Matt Hullum & Burnie Burns (screenplay); Gavin Free, Michael Jones, Burnie Burns, Colton Dunn, Nichole Bloom, Allie DeBerry",Science Fiction Action Adventure Comedy
The Marine 6: Close Quarters,"James Nunn (director); Craig Walendziak (screenplay); Chuck Norris (edited); Mike ""The Miz"" Mizanin, Shawn Michaels, Becky Lynch",Action Drama
Conundrum: Secrets Among Friends,"Josh Webber (director); Shaun Cairo (Screenplay), Jo Marie Payton, Gary Leroi Gray, Paula Jai Parker, Parker McKenna Posey",Drama Thriller
Fantastic Beasts: The Crimes of Grindelwald,"David Yates (director); J. K. Rowling (screenplay); Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Zoë Kravitz, Callum Turner, Claudia Kim, William Nadylam, Kevin Guthrie, Jude Law, Johnny Depp",Adventure Fantasy Drama
Widows,"Steve McQueen (director/screenplay); Gillian Flynn (screenplay); Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Carrie Coon, Jacki Weaver, Robert Duvall, Liam Neeson",Crime Thriller
Instant Family,"Sean Anders (director/screenplay); John Morris (screenplay); Mark Wahlberg, Rose Byrne, Isabela Moner, Tig Notaro, Margo Martindale, Julie Hagerty, Octavia Spencer",Comedy Drama
Ralph Breaks the Internet,"Rich Moore, Phil Johnston (directors); Phil Johnston, Pamela Ribon (screenplay); John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson, Jack McBrayer, Jane Lynch, Bill Hader, Alfred Molina, Alan Tudyk, Ed O'Neill",Family Animation Comedy Adventure
Creed II,"Steven Caple Jr. (director); Sylvester Stallone, Juel Taylor (screenplay); Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Dolph Lundgren, Florian Munteanu, Wood Harris, Phylicia Rashad",Drama
Green Book,"Peter Farrelly (director/screenplay); Brian Hayes Currie, Nick Vallelonga (screenplay); Viggo Mortensen, Mahershala Ali, Linda Cardellini",Drama Comedy
Robin Hood,"Otto Bathurst (director); Ben Chandler, David James Kelly (screenplay); Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Tim Minchin, Jamie Dornan",Adventure Action Thriller
Roma,"Alfonso Cuarón (director/screenplay); Yalitza Aparicio, Marina de Tavira, Fernando Grediaga, Jorge Antonio Guerrero",Drama
The Favourite,"Yorgos Lanthimos (director); Deborah Davis, Tony McNamara (screenplay); Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Joe Alwyn",Drama History Comedy
Mowgli: Legend of the Jungle,"Andy Serkis (director); Callie Kloves (screenplay); Rohan Chand, Christian Bale, Cate Blanchett, Benedict Cumberbatch, Andy Serkis, Matthew Rhys, Freida Pinto, Naomie Harris",Adventure Drama
The Possession of Hannah Grace,"Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell, Grey Damon, Kirby Johnson, Stana Katic",Horror Drama
Anna and the Apocalypse,"John McPhail (director); Alan McDonald, Ryan McHenry (screenplay); Ella Hunt, Malcolm Cumming, Marli Siu, Sarah Swire, Christopher Leveaux, Ben Wiggins",Horror Comedy Fantasy
Capernaum,"Nadine Labaki (director/screenplay); Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawthar Al Haddad",Drama
Mary Queen of Scots,"Josie Rourke (director); Beau Willimon (screenplay); Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant, Guy Pearce",Drama History
Ben Is Back,"Peter Hedges (director/screenplay); Lucas Hedges, Julia Roberts, Kathryn Newton, Courtney B. Vance",Drama
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Luna Lauren Velez, Lily Tomlin, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine",Action Adventure Animation Science Fiction Comedy
Mortal Engines,"Christian Rivers (director); Peter Jackson, Fran Walsh, Philippa Boyens (screenplay); Hugo Weaving, Hera Hilmar, Robert Sheehan, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang",Adventure Fantasy
The Mule,"Clint Eastwood (director); Nick Schenk (screenplay); Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Andy Garcia",Crime Drama Thriller
If Beale Street Could Talk,"Barry Jenkins (director/screenplay); Kiki Layne, Stephan James, Teyonah Parris, Regina King, Dave Franco, Ed Skrein, Diego Luna, Emily Rios",Drama Romance
Mary Poppins Returns,"Rob Marshall (director); David Magee (screenplay); Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Colin Firth, Meryl Streep, Dick Van Dyke, Angela Lansbury",Fantasy Family Comedy
Aquaman,"James Wan (director); David Leslie Johnson-McGoldrick, Will Beall (screenplay); Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Ludi Lin, Temuera Morrison, Nicole Kidman",Action Adventure Fantasy
Bumblebee,"Travis Knight (director); Christina Hodson (screenplay); Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Drucker, Pamela Adlon, Dylan O'Brien, Angela Bassett, Justin Theroux, Peter Cullen",Action Adventure Science Fiction
Welcome to Marwen,"Robert Zemeckis (director/screenplay); Caroline Thompson (screenplay); Steve Carell, Leslie Mann, Diane Kruger, Falk Hentschel, Janelle Monáe, Eiza Gonzalez, Gwendoline Christie",Drama Comedy Fantasy
Second Act,"Peter Segal (director); Elaine Goldsmith-Thomas, Justin Zackham (screenplay); Jennifer Lopez, Leah Remini, Vanessa Hudgens, Treat Williams, Milo Ventimiglia",Romance Comedy
Cold War,"Paweł Pawlikowski (director); Paweł Pawlikowski, Janusz Głowacki (screenplay); Joanna Kulig, Tomasz Kot, Agata Kulesza",Comedy Romance
Holmes & Watson,"Etan Cohen (director/screenplay); Will Ferrell, John C. Reilly, Rebecca Hall, Ralph Fiennes, Rob Brydon, Kelly Macdonald, Steve Coogan, Lauren Lapkus, Pam Ferris, Hugh Laurie",Mystery Adventure Comedy Crime
Vice,"Adam McKay (director/screenplay); Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Tyler Perry, Alison Pill, Lily Rabe, Jesse Plemons",Drama History Comedy
On the Basis of Sex,"Mimi Leder (director); Daniel Stiepleman (screenplay); Felicity Jones, Armie Hammer, Justin Theroux, Jack Reynor, Cailee Spaeny, Sam Waterston, Kathy Bates",Drama History
Destroyer,"Karyn Kusama (director); Phil Hay, Matt Manfredi (screenplay); Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy",Thriller Crime Drama Action
Black Mirror: Bandersnatch,"David Slade (director); Charlie Brooker (screenplay); Fionn Whitehead, Will Poulter, Asim Chaudhry, Craig Parkinson, Alice Lowe, Tallulah Haddon, Catriona Knox, Jonathan Aris",Science Fiction Mystery Drama Thriller TV Movie
