director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
unknown,Documentary,Amy Bruni,Steve Gonsalves,Jason Hawes,ghost hunters            ,English,Amy Bruni Steve Gonsalves Jason Hawes unknown Documentary
Jamie Blanks,Horror Mystery Thriller,Alicia Witt,Loretta Devine,Julian Richings,urban legend,English,Alicia Witt Loretta Devine Julian Richings Jamie Blanks Horror Mystery Thriller
Stephen Frears,Drama Romance,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,dangerous liaisons,English,Keanu Reeves Peter Capaldi Swoosie Kurtz Stephen Frears Drama Romance
Tyler Perry,Comedy Drama Romance,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,good deeds,English,Eddie Cibrian Phylicia Rashad Jamie Kennedy Tyler Perry Comedy Drama Romance
Randal Kleiser,Adventure Drama,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,white fang,English,Seymour Cassel Klaus Maria Brandauer Susan Hogan Randal Kleiser Adventure Drama
Bruce McCulloch,Comedy Romance,Will Ferrell,Elaine Hendrix,Molly Shannon,superstar,English,Will Ferrell Elaine Hendrix Molly Shannon Bruce McCulloch Comedy Romance
Phyllida Lloyd,Biography Drama History,Meryl Streep,Jim Broadbent,Olivia Colman,the iron lady,English,Meryl Streep Jim Broadbent Olivia Colman Phyllida Lloyd Biography Drama History
Mike Nawrocki,Adventure Animation Comedy Drama Family Musical,Phil Vischer,Mike Nawrocki,Shelby Vischer,jonah: a veggietales movie,English,Phil Vischer Mike Nawrocki Shelby Vischer Mike Nawrocki Adventure Animation Comedy Drama Family Musical
John Singleton,Drama Romance,Janet Jackson,Khandi Alexander,Maya Angelou,poetic justice,English,Janet Jackson Khandi Alexander Maya Angelou John Singleton Drama Romance
Kevin Bray,Action Comedy Crime Thriller,Mike Epps,Roger Guenveur Smith,Gino Salvano,all about the benjamins,English,Mike Epps Roger Guenveur Smith Gino Salvano Kevin Bray Action Comedy Crime Thriller
Wes Craven,Comedy Fantasy Horror Romance,John Witherspoon,W. Earl Brown,Allen Payne,vampire in brooklyn,English,John Witherspoon W. Earl Brown Allen Payne Wes Craven Comedy Fantasy Horror Romance
John Boorman,Horror,Linda Blair,Richard Burton,Ned Beatty,exorcist ii: the heretic,English,Linda Blair Richard Burton Ned Beatty John Boorman Horror
Courtney Solomon,Horror Mystery Thriller,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,an american haunting,English,Sissy Spacek James D'Arcy Vernon Dobtcheff Courtney Solomon Horror Mystery Thriller
David Zucker,Comedy Romance,Carmen Electra,Tyler Labine,Molly Shannon,my boss's daughter,English,Carmen Electra Tyler Labine Molly Shannon David Zucker Comedy Romance
David Twohy,Adventure Mystery Thriller,Chris Hemsworth,Milla Jovovich,Marley Shelton,a perfect getaway,English,Chris Hemsworth Milla Jovovich Marley Shelton David Twohy Adventure Mystery Thriller
Rick Famuyiwa,Comedy Romance,America Ferrera,Lance Gross,Lupe Ontiveros,our family wedding,English,America Ferrera Lance Gross Lupe Ontiveros Rick Famuyiwa Comedy Romance
Alan Cohn,Comedy,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,dead man on campus,English,Alyson Hannigan Linda Cardellini Poppy Montgomery Alan Cohn Comedy
Franco Zeffirelli,Comedy Drama War,Lily Tomlin,Joan Plowright,Paolo Seganti,tea with mussolini,English,Lily Tomlin Joan Plowright Paolo Seganti Franco Zeffirelli Comedy Drama War
Tom Holland,Fantasy Horror,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,thinner,English,Joe Mantegna Bethany Joy Lenz Kari Wuhrer Tom Holland Fantasy Horror
Martin Scorsese,Drama Music Musical Romance,Robert De Niro,Liza Minnelli,Mary Kay Place,"new york, new york",English,Robert De Niro Liza Minnelli Mary Kay Place Martin Scorsese Drama Music Musical Romance
Spike Lee,Comedy Drama,Alfre Woodard,Delroy Lindo,Isaiah Washington,crooklyn,English,Alfre Woodard Delroy Lindo Isaiah Washington Spike Lee Comedy Drama
Chris Rock,Comedy Drama Romance,Steve Buscemi,Eliza Coupe,Wendell Pierce,i think i love my wife,English,Steve Buscemi Eliza Coupe Wendell Pierce Chris Rock Comedy Drama Romance
James Isaac,Action Horror Sci-Fi Thriller,Peter Mensah,Kane Hodder,Lexa Doig,jason x,English,Peter Mensah Kane Hodder Lexa Doig James Isaac Action Horror Sci-Fi Thriller
Shawn Levy,Adventure Comedy Family,Frankie Muniz,Donald Faison,Lee Majors,big fat liar,English,Frankie Muniz Donald Faison Lee Majors Shawn Levy Adventure Comedy Family
Emilio Estevez,Drama History,Anthony Hopkins,Nick Cannon,Brian Geraghty,bobby,English,Anthony Hopkins Nick Cannon Brian Geraghty Emilio Estevez Drama History
Mark Waters,Comedy Mystery Romance,Monica Potter,Ivana Milicevic,China Chow,head over heels,English,Monica Potter Ivana Milicevic China Chow Mark Waters Comedy Mystery Romance
Josh Schwartz,Adventure Comedy,Thomas McDonell,Jackson Nicoll,Osric Chau,fun size,English,Thomas McDonell Jackson Nicoll Osric Chau Josh Schwartz Adventure Comedy
Julian Schnabel,Biography Drama,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,the diving bell and the butterfly,French,Emmanuelle Seigner Mathieu Amalric Isaach De Bankolé Julian Schnabel Biography Drama
Todd Field,Drama Romance,Kate Winslet,Noah Emmerich,Jane Adams,little children,English,Kate Winslet Noah Emmerich Jane Adams Todd Field Drama Romance
Davis Guggenheim,Drama Mystery Thriller,Norman Reedus,Sharon Lawrence,Noam Jenkins,gossip,English,Norman Reedus Sharon Lawrence Noam Jenkins Davis Guggenheim Drama Mystery Thriller
Tony Goldwyn,Drama,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,a walk on the moon,English,Viggo Mortensen Julie Kavner Tovah Feldshuh Tony Goldwyn Drama
Phillip Noyce,Biography Drama History,Derek Luke,Terry Pheto,Bonnie Henna,catch a fire,English,Derek Luke Terry Pheto Bonnie Henna Phillip Noyce Biography Drama History
Stephen Carpenter,Drama Horror Mystery Thriller,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,soul survivors,English,Melissa Sagemiller Angela Featherstone Candace Kroslak Stephen Carpenter Drama Horror Mystery Thriller
James Ivory,Biography Drama History Romance,Seth Gilliam,Todd Boyce,Nigel Whitmey,jefferson in paris,English,Seth Gilliam Todd Boyce Nigel Whitmey James Ivory Biography Drama History Romance
Stephan Elliott,Comedy Romance,Colin Firth,Kristin Scott Thomas,Kris Marshall,easy virtue,English,Colin Firth Kristin Scott Thomas Kris Marshall Stephan Elliott Comedy Romance
James Fargo,Action Adventure History,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,caravans,English,Christopher Lee Joseph Cotten Behrouz Vossoughi James Fargo Action Adventure History
Mike Leigh,Biography Drama History,Lesley Manville,Ruth Sheen,Karl Johnson,mr. turner,English,Lesley Manville Ruth Sheen Karl Johnson Mike Leigh Biography Drama History
Alain Resnais,Drama Romance,Mathieu Amalric,Sara Forestier,Edouard Baer,wild grass,French,Mathieu Amalric Sara Forestier Edouard Baer Alain Resnais Drama Romance
Costa-Gavras,Biography Crime Drama War,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,amen.,English,Sebastian Koch Mathieu Kassovitz Ulrich Mühe Costa-Gavras Biography Crime Drama War
Chao-Bin Su,Action,Woo-sung Jung,Shawn Yue,Kelly Lin,reign of assassins,Mandarin,Woo-sung Jung Shawn Yue Kelly Lin Chao-Bin Su Action
Neil Burger,Comedy Drama War,John Heard,Katherine LaNasa,Mark L. Young,the lucky ones,English,John Heard Katherine LaNasa Mark L. Young Neil Burger Comedy Drama War
Kenneth Lonergan,Drama,Matt Damon,Kieran Culkin,John Gallagher Jr.,margaret,English,Matt Damon Kieran Culkin John Gallagher Jr. Kenneth Lonergan Drama
Bo Zenga,Comedy Horror,Steve Howey,Kenan Thompson,Diora Baird,stan helsing,English,Steve Howey Kenan Thompson Diora Baird Bo Zenga Comedy Horror
Rob Reiner,Comedy Drama Romance,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,flipped,English,Madeline Carroll Rebecca De Mornay Aidan Quinn Rob Reiner Comedy Drama Romance
Ang Lee,Drama Romance,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,brokeback mountain,English,Jake Gyllenhaal Heath Ledger Anne Hathaway Ang Lee Drama Romance
Jonathan Liebesman,Action Adventure Comedy Sci-Fi,Noel Fisher,Danny Woodburn,Jeremy Howard,teenage mutant ninja turtles,English,Noel Fisher Danny Woodburn Jeremy Howard Jonathan Liebesman Action Adventure Comedy Sci-Fi
Amy Heckerling,Comedy Romance,Donald Faison,Dan Hedaya,Elisa Donovan,clueless,English,Donald Faison Dan Hedaya Elisa Donovan Amy Heckerling Comedy Romance
Todd Haynes,Drama Romance,Dennis Quaid,Celia Weston,Michael Gaston,far from heaven,English,Dennis Quaid Celia Weston Michael Gaston Todd Haynes Drama Romance
Steve Pink,Comedy Sci-Fi,Adam Scott,Gillian Jacobs,Collette Wolfe,hot tub time machine 2,English,Adam Scott Gillian Jacobs Collette Wolfe Steve Pink Comedy Sci-Fi
Philip Kaufman,Biography Drama,Kate Winslet,Stephen Marcus,Amelia Warner,quills,English,Kate Winslet Stephen Marcus Amelia Warner Philip Kaufman Biography Drama
Martin McDonagh,Comedy Crime,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,seven psychopaths,English,Abbie Cornish Gabourey Sidibe Michael Stuhlbarg Martin McDonagh Comedy Crime
Kasi Lemmons,Crime Drama Music Mystery Thriller,Colm Feore,Tamara Tunie,Aunjanue Ellis,the caveman's valentine,English,Colm Feore Tamara Tunie Aunjanue Ellis Kasi Lemmons Crime Drama Music Mystery Thriller
unknown,Action Crime Drama Thriller,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,the border            ,Polish,Jacek Koman Marian Dziedziel Jaroslaw Boberek unknown Action Crime Drama Thriller
Oliver Hirschbiegel,Biography Drama History War,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,downfall,German,Thomas Kretschmann Bruno Ganz Alexandra Maria Lara Oliver Hirschbiegel Biography Drama History War
Alejandro Amenábar,Biography Drama Romance,Belén Rueda,Lola Dueñas,Tamar Novas,the sea inside,Spanish,Belén Rueda Lola Dueñas Tamar Novas Alejandro Amenábar Biography Drama Romance
Jonathan Glazer,Drama Horror Sci-Fi Thriller,Scarlett Johansson,Paul Brannigan,Alison Chand,under the skin,English,Scarlett Johansson Paul Brannigan Alison Chand Jonathan Glazer Drama Horror Sci-Fi Thriller
Barry Levinson,Biography Comedy Drama War,Robin Williams,J.T. Walsh,Bruno Kirby,"good morning, vietnam",English,Robin Williams J.T. Walsh Bruno Kirby Barry Levinson Biography Comedy Drama War
Hyung-rae Shim,Comedy,Jason Mewes,Stephanie Danielson,Michael Rispoli,the last godfather,English,Jason Mewes Stephanie Danielson Michael Rispoli Hyung-rae Shim Comedy
Jon M. Chu,Documentary Music,Usher Raymond,Sean Kingston,Boys II Men,justin bieber: never say never,English,Usher Raymond Sean Kingston Boys II Men Jon M. Chu Documentary Music
Darren Aronofsky,Drama Thriller,Natalie Portman,Mila Kunis,Mark Margolis,black swan,English,Natalie Portman Mila Kunis Mark Margolis Darren Aronofsky Drama Thriller
José Padilha,Action Crime Sci-Fi Thriller,Gary Oldman,Abbie Cornish,Jennifer Ehle,robocop,English,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi Thriller
Francis Ford Coppola,Crime Drama,Robert De Niro,Al Pacino,Robert Duvall,the godfather: part ii,English,Robert De Niro Al Pacino Robert Duvall Francis Ford Coppola Crime Drama
Thomas Carter,Drama Music Romance,Sean Patrick Thomas,Terry Kinney,Fredro Starr,save the last dance,English,Sean Patrick Thomas Terry Kinney Fredro Starr Thomas Carter Drama Music Romance
Renny Harlin,Fantasy Horror Thriller,Tuesday Knight,Rodney Eastman,Brooke Bundy,a nightmare on elm street 4: the dream master,English,Tuesday Knight Rodney Eastman Brooke Bundy Renny Harlin Fantasy Horror Thriller
Patricia Riggen,Drama,Jennifer Garner,Brighton Sharbino,Martin Henderson,miracles from heaven,English,Jennifer Garner Brighton Sharbino Martin Henderson Patricia Riggen Drama
Danny Leiner,Comedy Mystery,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,"dude, where's my car?",English,Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner Comedy Mystery
Christopher Cain,Action Crime Drama Thriller Western,Jack Palance,Patrick Wayne,Brian Keith,young guns,English,Jack Palance Patrick Wayne Brian Keith Christopher Cain Action Crime Drama Thriller Western
Theodore Melfi,Comedy Drama,Bill Murray,Naomi Watts,Reg E. Cathey,st. vincent,English,Bill Murray Naomi Watts Reg E. Cathey Theodore Melfi Comedy Drama
Steve Pink,Comedy Romance,Joe Lo Truglio,Regina Hall,Bryan Callen,about last night,English,Joe Lo Truglio Regina Hall Bryan Callen Steve Pink Comedy Romance
Gil Junger,Comedy Drama Romance,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,10 things i hate about you,English,Joseph Gordon-Levitt Heath Ledger Andrew Keegan Gil Junger Comedy Drama Romance
Ed Decter,Comedy,Zooey Deschanel,Eddie Griffin,Gene Simmons,the new guy,English,Zooey Deschanel Eddie Griffin Gene Simmons Ed Decter Comedy
Gene Quintano,Action Comedy Crime,Jon Lovitz,Lin Shaye,Bill Nunn,loaded weapon 1,English,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano Action Comedy Crime
Jaume Collet-Serra,Drama Horror Thriller,Óscar Jaenada,Brett Cullen,Sedona Legge,the shallows,English,Óscar Jaenada Brett Cullen Sedona Legge Jaume Collet-Serra Drama Horror Thriller
Eric Bress,Sci-Fi Thriller,Logan Lerman,Eric Stoltz,Cameron Bright,the butterfly effect,English,Logan Lerman Eric Stoltz Cameron Bright Eric Bress Sci-Fi Thriller
Chris Koch,Adventure Comedy Family,Chris Elliott,Mark Webber,Jean Smart,snow day,English,Chris Elliott Mark Webber Jean Smart Chris Koch Adventure Comedy Family
Preston A. Whitmore II,Comedy Drama Romance,Mekhi Phifer,Chris Brown,Loretta Devine,this christmas,English,Mekhi Phifer Chris Brown Loretta Devine Preston A. Whitmore II Comedy Drama Romance
Bob Clark,Comedy Crime Family Sci-Fi,Kathleen Turner,Dom DeLuise,Ruby Dee,baby geniuses,English,Kathleen Turner Dom DeLuise Ruby Dee Bob Clark Comedy Crime Family Sci-Fi
Kirk Wong,Action Comedy Crime Thriller,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,the big hit,English,Bokeem Woodbine Elliott Gould Antonio Sabato Jr. Kirk Wong Action Comedy Crime Thriller
Bronwen Hughes,Comedy Drama Family,Gregory Smith,Eartha Kitt,Charlotte Sullivan,harriet the spy,English,Gregory Smith Eartha Kitt Charlotte Sullivan Bronwen Hughes Comedy Drama Family
John Lafia,Fantasy Horror,Jenny Agutter,Beth Grant,Greg Germann,child's play 2,English,Jenny Agutter Beth Grant Greg Germann John Lafia Fantasy Horror
Sam Miller,Crime Thriller,Leslie Bibb,Kate del Castillo,Henry Simmons,no good deed,English,Leslie Bibb Kate del Castillo Henry Simmons Sam Miller Crime Thriller
Frank Darabont,Horror,Toby Jones,Alexa Davalos,Jeffrey DeMunn,the mist,English,Toby Jones Alexa Davalos Jeffrey DeMunn Frank Darabont Horror
Alex Garland,Drama Mystery Sci-Fi Thriller,Elina Alminas,Sonoya Mizuno,Corey Johnson,ex machina,English,Elina Alminas Sonoya Mizuno Corey Johnson Alex Garland Drama Mystery Sci-Fi Thriller
Spike Jonze,Comedy Drama Fantasy,Willie Garson,Orson Bean,Mary Kay Place,being john malkovich,English,Willie Garson Orson Bean Mary Kay Place Spike Jonze Comedy Drama Fantasy
Mark Brown,Comedy Romance,Mo'Nique,Vivica A. Fox,Tamala Jones,two can play that game,English,Mo'Nique Vivica A. Fox Tamala Jones Mark Brown Comedy Romance
Dave Green,Adventure Family Sci-Fi,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,earth to echo,English,Teo Halm Ella Wahlestedt Jason Gray-Stanford Dave Green Adventure Family Sci-Fi
John Stockwell,Drama Romance,Kirsten Dunst,Jay Hernandez,Rolando Molina,crazy/beautiful,English,Kirsten Dunst Jay Hernandez Rolando Molina John Stockwell Drama Romance
Clint Eastwood,Drama History War,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,letters from iwo jima,Japanese,Yuki Matsuzaki Kazunari Ninomiya Shidô Nakamura Clint Eastwood Drama History War
Michael Polish,Adventure Drama Sci-Fi,J.K. Simmons,Virginia Madsen,Bruce Dern,the astronaut farmer,English,J.K. Simmons Virginia Madsen Bruce Dern Michael Polish Adventure Drama Sci-Fi
Daisy von Scherler Mayer,Comedy Romance,LL Cool J,Jada Pinkett Smith,Dave Chappelle,woo,English,LL Cool J Jada Pinkett Smith Dave Chappelle Daisy von Scherler Mayer Comedy Romance
Lenny Abrahamson,Drama,Joan Allen,Jacob Tremblay,Cas Anvar,room,English,Joan Allen Jacob Tremblay Cas Anvar Lenny Abrahamson Drama
Bob Saget,Comedy,Don Rickles,Jack Warden,Traylor Howard,dirty work,English,Don Rickles Jack Warden Traylor Howard Bob Saget Comedy
John Waters,Comedy Crime Thriller,Kathleen Turner,Sam Waterston,Traci Lords,serial mom,English,Kathleen Turner Sam Waterston Traci Lords John Waters Comedy Crime Thriller
Andrew Fleming,Comedy,Ryan Reynolds,Will Ferrell,Kirsten Dunst,dick,English,Ryan Reynolds Will Ferrell Kirsten Dunst Andrew Fleming Comedy
Niels Arden Oplev,Action Crime Mystery Thriller,Michael Nyqvist,David Dencik,Lena Endre,del 1 - män som hatar kvinnor            ,Swedish,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev Action Crime Mystery Thriller
Craig Bolotin,Drama Thriller,Rosario Dawson,Vanessa Williams,Robert Ri'chard,light it up,English,Rosario Dawson Vanessa Williams Robert Ri'chard Craig Bolotin Drama Thriller
Mark Christopher,Drama Music,Salma Hayek,Ellen Albertini Dow,Sela Ward,54,English,Salma Hayek Ellen Albertini Dow Sela Ward Mark Christopher Drama Music
Blair Hayes,Adventure Comedy Romance Sci-Fi,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,bubble boy,English,Jake Gyllenhaal Geoffrey Arend Marley Shelton Blair Hayes Adventure Comedy Romance Sci-Fi
Jez Butterworth,Comedy Crime Thriller,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,birthday girl,English,Mark Gatiss Mathieu Kassovitz Ben Chaplin Jez Butterworth Comedy Crime Thriller
Jon Lucas,Comedy,Justin Chon,Josie Loren,Sarah Wright,21 & over,English,Justin Chon Josie Loren Sarah Wright Jon Lucas Comedy
Olivier Assayas,Comedy Drama Romance,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,"paris, je t'aime",French,Steve Buscemi Miranda Richardson Catalina Sandino Moreno Olivier Assayas Comedy Drama Romance
Rod Lurie,Drama Sport,Harry Lennix,Kathryn Morris,Peter Coyote,resurrecting the champ,English,Harry Lennix Kathryn Morris Peter Coyote Rod Lurie Drama Sport
Paul Weitz,Comedy Drama Romance,Tina Fey,Sarita Choudhury,Christopher Evan Welch,admission,English,Tina Fey Sarita Choudhury Christopher Evan Welch Paul Weitz Comedy Drama Romance
Patrice Leconte,Drama Romance,Emir Kusturica,Daniel Auteuil,Yves Jacques,the widow of saint-pierre,French,Emir Kusturica Daniel Auteuil Yves Jacques Patrice Leconte Drama Romance
Atom Egoyan,Drama Mystery Romance Thriller,Liam Neeson,Meghan Heffern,Natalie Lisinska,chloe,English,Liam Neeson Meghan Heffern Natalie Lisinska Atom Egoyan Drama Mystery Romance Thriller
Paul Mazursky,Comedy Crime Drama,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,faithful,English,Chazz Palminteri Ryan O'Neal Paul Mazursky Paul Mazursky Comedy Crime Drama
Jim Sheridan,Drama Thriller,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,brothers,English,Natalie Portman Jake Gyllenhaal Ethan Suplee Jim Sheridan Drama Thriller
Sidney Lumet,Biography Comedy Crime Drama,Peter Dinklage,Vin Diesel,Alex Rocco,find me guilty,English,Peter Dinklage Vin Diesel Alex Rocco Sidney Lumet Biography Comedy Crime Drama
Stephen Chbosky,Drama Romance,Logan Lerman,Ezra Miller,Kate Walsh,the perks of being a wallflower,English,Logan Lerman Ezra Miller Kate Walsh Stephen Chbosky Drama Romance
Jon Hess,Action,Burt Young,Ian Gomez,Thomas Ian Griffith,excessive force,English,Burt Young Ian Gomez Thomas Ian Griffith Jon Hess Action
Douglas McGrath,Biography Crime Drama,Toby Jones,Isabella Rossellini,Hope Davis,infamous,English,Toby Jones Isabella Rossellini Hope Davis Douglas McGrath Biography Crime Drama
Mark Neveldine,Horror Thriller,Djimon Hounsou,Alison Lohman,Dougray Scott,the vatican tapes,English,Djimon Hounsou Alison Lohman Dougray Scott Mark Neveldine Horror Thriller
Joe Cornish,Action Comedy Sci-Fi Thriller,John Boyega,Luke Treadaway,Jodie Whittaker,attack the block,English,John Boyega Luke Treadaway Jodie Whittaker Joe Cornish Action Comedy Sci-Fi Thriller
Angelina Jolie Pitt,Drama Romance War,Jelena Jovanova,Nikola Djuricko,Branko Djuric,in the land of blood and honey,Bosnian,Jelena Jovanova Nikola Djuricko Branko Djuric Angelina Jolie Pitt Drama Romance War
Brad Anderson,Crime Thriller,Michael Imperioli,Tara Platt,Roma Maffia,the call,English,Michael Imperioli Tara Platt Roma Maffia Brad Anderson Crime Thriller
John H. Lee,Action Drama History War,Liam Neeson,Dean Dawson,Jung-jae Lee,operation chromite,English,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee Action Drama History War
John Stainton,Action Adventure Comedy Family,Steve Irwin,Aden Young,Steve Bastoni,the crocodile hunter: collision course,English,Steve Irwin Aden Young Steve Bastoni John Stainton Action Adventure Comedy Family
Glenn Ficarra,Biography Comedy Crime Drama Romance,Dameon Clarke,Louis Herthum,Annie Golden,i love you phillip morris,English,Dameon Clarke Louis Herthum Annie Golden Glenn Ficarra Biography Comedy Crime Drama Romance
Jean-Jacques Annaud,Adventure Drama History,Rae Dawn Chong,Everett McGill,Gary Schwartz,quest for fire,None,Rae Dawn Chong Everett McGill Gary Schwartz Jean-Jacques Annaud Adventure Drama History
Denzel Washington,Biography Drama,Denzel Washington,Kevin Connolly,Derek Luke,antwone fisher,English,Denzel Washington Kevin Connolly Derek Luke Denzel Washington Biography Drama
Michael Hoffman,Drama,Gabriel Millman,Embeth Davidtz,Rob Morrow,the emperor's club,English,Gabriel Millman Embeth Davidtz Rob Morrow Michael Hoffman Drama
Tony Scott,Action Crime Drama Romance Thriller,Brad Pitt,Gary Oldman,Michael Rapaport,true romance,English,Brad Pitt Gary Oldman Michael Rapaport Tony Scott Action Crime Drama Romance Thriller
Benedek Fliegauf,Drama Romance Sci-Fi,Eva Green,Matt Smith,Hannah Murray,womb,English,Eva Green Matt Smith Hannah Murray Benedek Fliegauf Drama Romance Sci-Fi
James Foley,Crime Drama Mystery,Kevin Spacey,Al Pacino,Jude Ciccolella,glengarry glen ross,English,Kevin Spacey Al Pacino Jude Ciccolella James Foley Crime Drama Mystery
Michael Winterbottom,Crime Drama Thriller,Liam Aiken,Ned Beatty,Jay R. Ferguson,the killer inside me,English,Liam Aiken Ned Beatty Jay R. Ferguson Michael Winterbottom Crime Drama Thriller
Stewart Hendler,Horror Mystery,Julian Morris,Margo Harshman,Rumer Willis,sorority row,English,Julian Morris Margo Harshman Rumer Willis Stewart Hendler Horror Mystery
John Cromwell,Adventure Drama Romance,David Niven,Mary Astor,Ronald Colman,the prisoner of zenda,English,David Niven Mary Astor Ronald Colman John Cromwell Adventure Drama Romance
Craig Gillespie,Comedy Drama Romance,Ryan Gosling,Kelli Garner,Paul Schneider,lars and the real girl,English,Ryan Gosling Kelli Garner Paul Schneider Craig Gillespie Comedy Drama Romance
Mark Herman,Drama War,Richard Johnson,Sheila Hancock,Cara Horgan,the boy in the striped pajamas,English,Richard Johnson Sheila Hancock Cara Horgan Mark Herman Drama War
Lars von Trier,Crime Drama Musical,Catherine Deneuve,Udo Kier,Björk,dancer in the dark,English,Catherine Deneuve Udo Kier Björk Lars von Trier Crime Drama Musical
Gillian Armstrong,Drama Romance,Tom Wilkinson,Richard Roxburgh,Clive Russell,oscar and lucinda,English,Tom Wilkinson Richard Roxburgh Clive Russell Gillian Armstrong Drama Romance
Abel Ferrara,Crime Drama,Isabella Rossellini,Vincent Gallo,Gretchen Mol,the funeral,English,Isabella Rossellini Vincent Gallo Gretchen Mol Abel Ferrara Crime Drama
Brian Koppelman,Comedy Drama Romance,Jenna Fischer,David Costabile,Richard Schiff,solitary man,English,Jenna Fischer David Costabile Richard Schiff Brian Koppelman Comedy Drama Romance
Ethan Maniquis,Action Crime Thriller,Robert De Niro,Don Johnson,Cheech Marin,machete,English,Robert De Niro Don Johnson Cheech Marin Ethan Maniquis Action Crime Thriller
George Hickenlooper,Biography Comedy Crime Drama,Kevin Spacey,Eric Schweig,Christian Campbell,casino jack,English,Kevin Spacey Eric Schweig Christian Campbell George Hickenlooper Biography Comedy Crime Drama
Don Bluth,Adventure Animation Family,Judith Barsi,Gabriel Damon,Bill Erwin,the land before time,English,Judith Barsi Gabriel Damon Bill Erwin Don Bluth Adventure Animation Family
Je-kyu Kang,Action Drama War,Min-sik Choi,Bin Won,Dong-gun Jang,tae guk gi: the brotherhood of war,Korean,Min-sik Choi Bin Won Dong-gun Jang Je-kyu Kang Action Drama War
William Dear,Comedy Drama Family Sport,Clifton Collins Jr.,Cheech Marin,Bruce McGill,the perfect game,English,Clifton Collins Jr. Cheech Marin Bruce McGill William Dear Comedy Drama Family Sport
William Friedkin,Horror,Ellen Burstyn,Linda Blair,Lee J. Cobb,the exorcist,English,Ellen Burstyn Linda Blair Lee J. Cobb William Friedkin Horror
Steven Spielberg,Adventure Drama Thriller,Roy Scheider,Robert Shaw,Murray Hamilton,jaws,English,Roy Scheider Robert Shaw Murray Hamilton Steven Spielberg Adventure Drama Thriller
Paul Weitz,Comedy,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,american pie,English,Alyson Hannigan Shannon Elizabeth Natasha Lyonne Paul Weitz Comedy
Stéphane Aubier,Animation Comedy Crime Drama Family,Mackenzie Foy,Megan Mullally,Lambert Wilson,ernest & celestine,French,Mackenzie Foy Megan Mullally Lambert Wilson Stéphane Aubier Animation Comedy Crime Drama Family
Michael Ritchie,Action Adventure Comedy Fantasy Mystery,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,the golden child,English,Victor Wong Randall 'Tex' Cobb Charlotte Lewis Michael Ritchie Action Adventure Comedy Fantasy Mystery
Tim Story,Comedy Romance,Chris Brown,Romany Malco,Regina Hall,think like a man,English,Chris Brown Romany Malco Regina Hall Tim Story Comedy Romance
Tim Story,Comedy Drama,Sean Patrick Thomas,Jason George,Cedric the Entertainer,barbershop,English,Sean Patrick Thomas Jason George Cedric the Entertainer Tim Story Comedy Drama
Nicholas Meyer,Action Adventure Sci-Fi,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,star trek ii: the wrath of khan,English,Leonard Nimoy Kirstie Alley Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi
Tom Shadyac,Comedy,Sean Young,Udo Kier,David Margulies,ace ventura: pet detective,English,Sean Young Udo Kier David Margulies Tom Shadyac Comedy
John Badham,Sci-Fi Thriller,Matthew Broderick,Barry Corbin,Ally Sheedy,wargames,English,Matthew Broderick Barry Corbin Ally Sheedy John Badham Sci-Fi Thriller
