director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,the chronicles of narnia: the voyage of the dawn treader,English,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy
Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,pearl harbor,English,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War
Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,transformers,English,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi
Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,alexander,English,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War
David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,harry potter and the order of the phoenix,English,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery
Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,harry potter and the goblet of fire,English,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery
Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,hancock,English,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama
Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,i am legend,English,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi
Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,charlie and the chocolate factory,English,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy
Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,ratatouille,English,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy
Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,batman begins,English,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure
Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,madagascar: escape 2 africa,English,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: battle of the smithsonian,English,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,x-men origins: wolverine,English,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller
